ID,"Date & Time",User,Role,Action,"Target Type","Target ID",Details,"IP Address"
57,"2026-05-24 02:32:27",Admin,admin,"deleted bet",bet,29,"reference: EUN-446278, side: wala, amount: 5000.00",192.168.1.10
58,"2026-05-24 02:32:34",Admin,admin,"deleted bet",bet,28,"reference: SAJ-311660, side: meron, amount: 5000.00",192.168.1.10
59,"2026-05-24 02:32:39",Admin,admin,"deleted bet",bet,27,"reference: JGB-382973, side: meron, amount: 5000.00",192.168.1.10
60,"2026-05-24 02:43:02",Admin,admin,"placed bet",bet,30,"side: meron, amount: 5000.00",192.168.1.10
61,"2026-05-24 02:43:09",Admin,admin,"deleted bet",bet,30,"reference: TX5-401411, side: meron, amount: 5000.00",192.168.1.10
62,"2026-05-24 02:43:12",Admin,admin,"deleted bet",bet,24,"reference: UQE-772987, side: wala, amount: 5000.00",192.168.1.10
63,"2026-05-24 02:43:17",Admin,admin,"updated all side status",fight,1,"status: closed",192.168.1.10
64,"2026-05-24 02:43:18",Admin,admin,"finalized bet",fight,1,,192.168.1.10
65,"2026-05-24 02:43:22",Admin,admin,"declared winner",fight,1,"winner: cancelled",192.168.1.10
66,"2026-05-24 03:39:14",Admin,admin,"reannounced winner",fight,1,"winner: draw",192.168.1.10
67,"2026-05-24 03:39:40",Admin,admin,"created fight",fight,2,"fight_number: 2",192.168.1.10
68,"2026-05-24 03:41:04",Admin,admin,"updated all side status",fight,2,"status: open",192.168.1.10
69,"2026-05-24 03:41:17","Teller 1",teller,"placed bet",bet,31,"side: meron, amount: 500.00",192.168.1.23
70,"2026-05-24 03:41:32","Teller 1",teller,"placed bet",bet,32,"side: wala, amount: 500.00",192.168.1.23
71,"2026-05-24 03:41:50",Admin,admin,"updated all side status",fight,2,"status: closed",192.168.1.10
72,"2026-05-24 03:41:51",Admin,admin,"finalized bet",fight,2,,192.168.1.10
73,"2026-05-24 03:41:56",Admin,admin,"declared winner",fight,2,"winner: meron",192.168.1.10
74,"2026-05-24 03:42:13",Admin,admin,"reannounced winner",fight,2,"winner: wala",192.168.1.10
75,"2026-05-24 03:42:46",Admin,admin,"reannounced winner",fight,2,"winner: meron",192.168.1.10
76,"2026-05-24 03:43:02",Admin,admin,"reannounced winner",fight,2,"winner: wala",192.168.1.10
77,"2026-05-24 03:43:18",Admin,admin,"created fight",fight,3,"fight_number: 3",192.168.1.10
78,"2026-05-24 03:43:38",Admin,admin,"reannounced winner",fight,2,"winner: meron",192.168.1.10
79,"2026-05-24 03:47:49",Admin,admin,"reannounced winner",fight,2,"winner: wala",192.168.1.10
80,"2026-05-24 03:53:15",Admin,admin,"updated all side status",fight,3,"status: open",192.168.1.10
81,"2026-05-24 03:53:21",Admin,admin,"updated all side status",fight,3,"status: closed",192.168.1.10
82,"2026-05-24 03:54:21",Admin,admin,"reannounced winner",fight,2,"winner: meron",192.168.1.10
83,"2026-05-24 03:54:41",Admin,admin,"declared winner",fight,3,"winner: cancelled",192.168.1.10
84,"2026-05-24 03:55:56",Admin,admin,"created fight",fight,4,"fight_number: 4",192.168.1.10
85,"2026-05-24 03:56:10",Admin,admin,"reannounced winner",fight,2,"winner: wala",192.168.1.10
86,"2026-05-24 03:57:02",Admin,admin,"reset fight counter",system,—,"message: Fight counter reset to 1. New session started., session_date: 2026-05-24, fights_in_previous_session: 4, total_fights_preserved: 4",192.168.1.10
87,"2026-05-24 03:57:06",Admin,admin,"created fight",fight,5,"fight_number: 1",192.168.1.10
88,"2026-05-24 03:57:10",Admin,admin,"updated all side status",fight,5,"status: open",192.168.1.10
